br,br,br,br,br,br,tcol,br,br,br,br,br,br,br,br,tcol,br,br,br,br,br,br
br,eb,brbg,brbg,brbg,brbg,col,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,col,brbg,brbg,brbg,brbg,brbg,br
br,eb,brbg,brbg,brbg,brbg,col,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,col,brbg,brbg,brbg,brbg,brbg,br
br,pbr,pbr,pbr,brbg,brbg,col,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,col,brbg,brbg,brbg,brbg,brbg,br
br,brbg,brbg,brbg,brbg,pbr,pbr,pbr,brbg,brbg,brbg,brbg,brbg,brbg,brbg,col,brbg,brbg,brbg,brbg,brbg,br
br,brbg,brbg,brbg,brbg,brbg,col,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,col,brbg,brbg,brbg,brbg,brbg,br
br,brbg,brbg,brbg,brbg,brbg,col,brbg,brbg,pbr,pbr,pbr,brbg,brbg,brbg,col,brbg,brbg,brbg,brbg,brbg,br
br,brbg,brbg,brbg,brbg,brbg,col,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,col,brbg,brbg,brbg,brbg,brbg,br
br,brbg,brbg,brbg,brbg,brbg,col,brbg,brbg,brbg,brbg,brbg,brbg,pbr,pbr,pbr,brbg,brbg,brbg,brbg,brbg,br
br,brbg,brbg,brbg,brbg,brbg,col,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,col,brbg,brbg,pbr,pbr,pbr,br
br,brbg,brbg,brbg,brbg,brbg,col,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,col,brbg,brbg,brbg,brbg,brbg,br
br,brbg,brbg,brbg,brbg,brbg,col,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,col,brbg,brbg,brbg,brbg,brbg,br
br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br
