br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,eb,eb,br,br,br,br,br,br,br
br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,eb,eb,br,br,br,br,br,br,br
br,br,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,br,br,br,br,br,br,br,br,br,eb,eb,br,br,br,br,br,br,br
br,br,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,br,br,br,br,br,br,br,br,br,eb,eb,br,br,br,br,br,br,br
br,br,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,br,br,br,br,br,br,br,br,br,eb,eb,br,br,br,br,br,br,br
br,br,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,br,br,br,br,br,br,br,br,br,eb,eb,br,br,br,br,br,br,br
br,br,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,br,br,br,br,br,br,br,br,br,eb,eb,br,br,br,br,br,br,br
br,br,pbr,pbr,pbr,pbr,pbr,pbr,brbg,brbg,brbg,brbg,pbr,pbr,pbr,pbr,pbr,pbr,brbg,brbg,brbg,brbg,pbr,pbr,pbr,pbr,pbr,pbr,brbg,brbg,brbg,brbg,pbr,pbr,pbr,pbr,pbr,pbr,brbg,brbg,brbg,brbg,pbr,pbr,pbr,pbr,br,br,br,br,br,br,br,br,br,eb,eb,br,br,br,br,br,br,br
brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,eb,eb,brbg,brbg,brbg,brbg,brbg,br,br
brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,eb,eb,brbg,brbg,brbg,brbg,st,br,br
brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,eb,eb,brbg,brbg,brbg,brbg,sb,br,br
br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br
br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br
