br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,eb,eb,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br
br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,eb,eb,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br
br,br,brbg,brbg,brbg,brbg,tcol,brbg,brbg,brbg,tcol,brbg,brbg,brbg,tcol,brbg,brbg,brbg,tcol,brbg,brbg,brbg,tcol,brbg,brbg,brbg,tcol,brbg,brbg,brbg,brbg,br,br,br,br,br,br,br,eb,eb,br,br,br,br,br,brbg,brbg,brbg,brbg,tcol,brbg,brbg,brbg,tcol,brbg,brbg,brbg,tcol,brbg,brbg,brbg,br,br
br,br,brbg,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,brbg,br,br,br,br,br,br,br,eb,eb,br,br,br,br,br,brbg,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,br,br
br,br,brbg,brbg,tw,brbg,col,brbg,tw,brbg,col,brbg,tw,brbg,col,brbg,tw,brbg,col,brbg,tw,brbg,col,brbg,tw,brbg,col,brbg,tw,brbg,brbg,br,br,br,br,br,br,br,eb,eb,br,br,br,br,br,brbg,brbg,tw,brbg,col,brbg,tw,brbg,col,brbg,tw,brbg,col,brbg,tw,brbg,br,br
br,br,brbg,brbg,bw,brbg,col,brbg,bw,brbg,col,brbg,bw,brbg,col,brbg,bw,brbg,col,brbg,bw,brbg,col,brbg,bw,brbg,col,brbg,bw,brbg,brbg,br,br,br,br,br,br,br,eb,eb,br,br,br,br,br,brbg,brbg,bw,brbg,col,brbg,bw,brbg,col,brbg,bw,brbg,col,brbg,bw,brbg,br,br
br,br,brbg,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,brbg,br,br,br,br,br,br,br,eb,eb,br,br,br,br,br,brbg,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,br,br
br,br,brbg,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,brbg,br,br,br,br,br,br,br,eb,eb,br,br,br,br,br,brbg,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,br,br
brbg,brbg,brbg,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,eb,eb,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,brbg,brbg
brbg,brbg,brbg,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,eb,eb,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,brbg,brbg
brbg,brbg,brbg,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,eb,eb,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,col,brbg,brbg,brbg,brbg,brbg
br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br
br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br
