br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br
br,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,br
br,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,br
br,brbg,brbg,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,brbg,brbg,br,br,br,br,br,br,br,br,br,br,brbg,brbg,br
br,brbg,brbg,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,brbg,brbg,br,br,br,br,br,br,br,br,br,br,brbg,brbg,br
br,brbg,brbg,br,br,eb,brbg,brbg,brbg,brbg,brbg,br,br,brbg,brbg,br,br,br,br,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,br,br,brbg,brbg,br,br,brbg,brbg,brbg,brbg,brbg,brbg,br,br,brbg,brbg,br
br,brbg,brbg,br,br,brbg,brbg,brbg,brbg,brbg,brbg,br,br,brbg,brbg,br,br,br,br,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,br,br,brbg,brbg,br,br,brbg,brbg,brbg,brbg,brbg,brbg,br,br,brbg,brbg,br
br,brbg,brbg,br,br,br,br,br,br,brbg,brbg,br,br,brbg,brbg,br,br,br,br,brbg,brbg,br,br,br,br,br,br,brbg,brbg,br,br,brbg,brbg,br,br,brbg,brbg,br,br,brbg,brbg,br,br,brbg,brbg,br
br,brbg,brbg,br,br,br,br,br,br,brbg,brbg,br,br,brbg,brbg,br,br,br,br,brbg,brbg,br,br,br,br,br,br,brbg,brbg,br,br,brbg,brbg,br,br,brbg,brbg,br,br,brbg,brbg,br,br,brbg,brbg,br
br,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,br,br,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,br,br,eb,brbg,br,br,brbg,brbg,br,br,brbg,brbg,br,br,brbg,brbg,br,br,brbg,brbg,br,br,brbg,brbg,br
br,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,br,br,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,br,br,brbg,brbg,br,br,brbg,brbg,br,br,brbg,brbg,br,br,brbg,brbg,br,br,brbg,brbg,br,br,brbg,brbg,br
br,br,br,br,br,br,br,br,br,br,br,br,br,brbg,brbg,br,br,br,br,br,br,br,br,brbg,brbg,br,br,brbg,brbg,br,br,brbg,brbg,br,br,brbg,brbg,br,br,brbg,brbg,br,br,brbg,brbg,br
br,br,br,br,br,br,br,br,br,br,br,br,br,brbg,brbg,br,br,br,br,br,br,br,br,brbg,brbg,br,br,brbg,brbg,br,br,brbg,brbg,br,br,brbg,brbg,br,br,brbg,brbg,br,br,brbg,brbg,br
br,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,br,br,br,br,brbg,brbg,brbg,brbg,brbg,brbg,br,br,brbg,brbg,br,br,brbg,brbg,br,br,brbg,brbg,br,br,brbg,brbg,br,br,brbg,brbg,br
